first_author,institution,full_affiliation
 Christopher Colombo,Madigan Army Medical Center,"Madigan Army Medical Center, Joint Base Lewis-McChord, WA"
 Tamer Said Ahmed,University of Toledo Medical Center,"University of Toledo Medical Center, Toledo, OH"
 Maria Andrievskaya,Henry Ford Hospital,"Henry Ford Hospital, Detroit, MI"
 Vivian Hernandez-Torres,Mayo Clinic,"Mayo Clinic, Jacksonville, FL"
 Zacharia Grami,McGovern Medical School,"McGovern Medical School, Houston, TX"
 Vivian Hernandez-Torres,Mayo Clinic,"Mayo Clinic, Jacksonville, FL"
 Laurie Robertson,Barnes-Jewish Hospital,"Barnes-Jewish Hospital, Saint Louis, MO"
 Alexander Lukic,Cleveland Clinic Foundation,"Cleveland Clinic Foundation, Cleveland, OH"
 Daniel King,Washington,"Washington, DC"
 Meagan Latham,Saint John,"Saint John, IN"
 Nibras Bughrara,Albany Medical College,"Albany Medical College, Albany, NY"
 Claudine Curioso-Hughes,Spectrum Health at Lakeland Medical Center,"Spectrum Health at Lakeland Medical Center, Saint Joseph, MI"
 Leon Chen,Memorial Sloan-Kettering Cancer Center,"Memorial Sloan-Kettering Cancer Center, New York, NY"
 Yaseen Arabi,King Saud Bin Abdulaziz University for Health Sciences,"King Saud Bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia"
 Matthew Reaven,Emory University,"Emory University, Atlanta, GA"
 Yanmei Feng,Department of Respiratory Medicine,"Department of Respiratory Medicine, Chongqing"
 Mark Hamill,Virginia Tech Carilion School of Medicine,"Virginia Tech Carilion School of Medicine, Roanoke, VA"
 Fraser Mackay,Lahey Hospital and Medical Center,"Lahey Hospital and Medical Center, Burlington, MA"
 An La,Stanford,"Stanford, CA"
 Meghan Brennan,University of Florida,"University of Florida, Gainesville, FL"
 Chunjie Li,Montefiore Mount Vernon Hospital,"Montefiore Mount Vernon Hospital, Mount Vernon, NY"
 Sabrina Waheed,Stoke Mandeville Hospital,"Stoke Mandeville Hospital, Aylesbury, United Kingdom"
 John Joseph,University of Michigan,"University of Michigan, Ann Arbor, MI"
 Jhoclay See,Cleveland,"Cleveland, OH"
 Louise Rose,King’s College London,"King’s College London, London, UK"
 Muhammad Uzair Lodhi,Raleigh General Hospital,"Raleigh General Hospital, West Virginia University, Beckley, WV"
 Muhammad Uzair Lodhi,Raleigh General Hospital,"Raleigh General Hospital, West Virginia University, Beckley, WV"
 Alexander Kuruvilla,Apollo Hospitals,"Apollo Hospitals, Chennai, India"
 Christan Santos,Mayo Clinic Hospital in Florida,"Mayo Clinic Hospital in Florida, Jacksonville, FL"
 Ina Zaimi,St. Elizabeths Medical Center,"St. Elizabeths Medical Center, Dept of Anesthesiology, Boston, MA"
 Jesse Wenger,Seattle Children’s Hospital,"Seattle Children’s Hospital, Seattle, WA"
 Christopher Carroll,Connecticut Children’s Medical Center,"Connecticut Children’s Medical Center, Hartford, CT"
 Viren Kaul,Crouse Hospital / SUNY Upstate Medical University,"Crouse Hospital / SUNY Upstate Medical University, Syracuse, NY"
 Kathryn McMenaman,CHOC Children’s Hospital,"CHOC Children’s Hospital, Orange, CA"
 Catherine Urso,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Michael Green,UT Southwestern Children’s Medical Center,"UT Southwestern Children’s Medical Center, Dallas, TX"
 Rachel Poeppelman,Columbus,"Columbus, OH"
 Nicholas Slamon,West Grove,"West Grove, PA"
 Rachel Poeppelman,Columbus,"Columbus, OH"
 Sushant Srinivasan,UW Madison,"UW Madison, SMPH, Madison, WI"
 Claire Stewart,Nationwide Children’s Hospital,"Nationwide Children’s Hospital, Columbus, OH"
 Amy Jones,Children’s National Health System,"Children’s National Health System, Washington, DC"
 Mark Mai,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Sonali Basu,Children’s National Health Systems - Washington,"Children’s National Health Systems - Washington, DC, Washington, DC"
 Albert Zichichi,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Nayeli Montes,Jacksonville,"Jacksonville, FL"
 Hong Nguyen,UF Health Jacksonville,"UF Health Jacksonville, Jacksonville, FL"
 Alexander Hess,University Hospitals Cleveland Medical Center,"University Hospitals Cleveland Medical Center, Cleveland, OH"
 Randa Hazam,Department of Internal Medicine,"Department of Internal Medicine, Texas Tech University Health Sciences Center, Amarillo, TX"
 Rakshya Sharma,University of South Dakota Sanford School of Medicine,"University of South Dakota Sanford School of Medicine, Sioux falls, SD"
 Forrest Orme,Legacy Health,"Legacy Health, Portland, OR"
 Mario Pimentel,Cleveland Clinic Florida,"Cleveland Clinic Florida, Weston, FL"
 George Abdallah,Beth Israel Deaconess Medical Center,"Beth Israel Deaconess Medical Center, Boston, MA"
 Peter Nikolos,Arnold and Marie Schwartz College of Pharmacy and Health Sciences,"Arnold and Marie Schwartz College of Pharmacy and Health Sciences, LIU Pharmacy, Brooklyn, NY"
 Thomas Erickson,Allegheny Health Network,"Allegheny Health Network, St Vincent’s Hospital, Erie, PA"
 Dominique Brundidge,University of Pennsylvania Hospital,"University of Pennsylvania Hospital, Philadelphia, PA"
 Roxanne Favis,Riverside University Health Systems,"Riverside University Health Systems, Moreno Valley, CA"
 Yang Liu,Departments of Critical Care Medicine,"Departments of Critical Care Medicine, Gaochun People’s Hospital, Gaochun District, Nanjing, China"
 Jane Litwak,HonorHealth John C. Lincoln Medical Center,"HonorHealth John C. Lincoln Medical Center, Phoenix, AZ"
 Garrison Davis,Geisinger Commonwealth School of Medicine,"Geisinger Commonwealth School of Medicine, Scranton, PA"
 Bram Kilapong,Universitas Indonesia,"Universitas Indonesia, Jakarta, Indonesia"
 Bibek Karki,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Danny Xu,UT Southwestern Medical Center,"UT Southwestern Medical Center, Dallas, TX"
 Jojo Alunilkummannil,MedStar Washington Hospital Center,"MedStar Washington Hospital Center, Washington, DC"
 Mohammed Alahmari,Prince Sultan Military College of Health Sciences,"Prince Sultan Military College of Health Sciences, Dhahran, Saudi Arabia"
 Reza Hashemian,NRITLD/SBMU- Masih Daneshvari Hospital,"NRITLD/SBMU- Masih Daneshvari Hospital, Tehran, Iran"
 John Cuenca,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Jennifer Tang,USC Keck School of Medicine,"USC Keck School of Medicine, Los Angeles, CA"
 Peyton Martin,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Ma Theresa Bautista,Charleston Area Medical Center,"Charleston Area Medical Center, Charleston, WV"
 Mary Sole,University of Central Florida,"University of Central Florida, Orlando, FL"
 Navneet Kaur,Florida Atlantic University Charles E. Schmidt College of Medicine,"Florida Atlantic University Charles E. Schmidt College of Medicine, Boca Raton, FL"
 Zed Seedat,Florida Atlantic University Charles E. Schmidt College of Medicine,"Florida Atlantic University Charles E. Schmidt College of Medicine, Boca Raton, FL"
 Sana Ali,West Virginia University Hospital,"West Virginia University Hospital, Morgantown, WV"
 Hana Rajevac,Bronx,"Bronx, NY"
 Mohammed Megri,University of Kentucky,"University of Kentucky, Pulmonary and CCM Department, Lexington, KY"
 Danielle Hackett,Saint Luke’s University Hospital & Health Network,"Saint Luke’s University Hospital & Health Network, Bethlehem, PA"
 Bethany Shoulders,University of Florida Health,"University of Florida Health, Gainesville, FL"
 Danielle Aronowitz,Long Island Jewish Medical Ctr,"Long Island Jewish Medical Ctr, Great Neck, NY"
 Alfredo Aisa Alvarez,Centro Médico ABC,"Centro Médico ABC, Ciudad de México"
 Sarah Krizan,Binghamton,"Binghamton, NY"
 Jennifer Ervin,University of Michigan,"University of Michigan, Ann Arbor, MI"
 Zacharia Grami,McGovern Medical School,"McGovern Medical School, Houston, TX"
 Iqbal Ratnani,DeBakey Heart and Vascular Center,"DeBakey Heart and Vascular Center, Houston, TX"
 David Harper,Texas Tech University Health Science Center,"Texas Tech University Health Science Center, Amarillo, TX"
 Satoshi Fukuda,Department of Anesthesiology,"Department of Anesthesiology, University of Texas Medical Branch, Galveston, TX"
 Syed Sami Haider,Western Michigan University School of Medicine,"Western Michigan University School of Medicine, Kalamazoo, MI"
 Yenny Cardenas,Fundacion Santa Fe De Bogota,"Fundacion Santa Fe De Bogota, Bogota, Colombia"
 Christy Chan,Icahn School of Medicine at Mount Sinai,"Icahn School of Medicine at Mount Sinai, New York, NY"
 Swaroopa Nalamalapu,East Carolina University Brody School of medicine,"East Carolina University Brody School of medicine, Greenville, NC"
 Munenori Kusunoki,Department of Anesthesiology,"Department of Anesthesiology, Kansai Medical University, Hirakata, Japan"
 Brian Dyson,Chicago,"Chicago, IL"
 Azaan Ramani,Baylor University Medical Center,"Baylor University Medical Center, Dallas, TX"
 Kam Sing Ho,New York,"New York, NY"
 Omar Mahmoud,Mount Sinai St Luke’s & Mount Sinai Roosevelt Hospital Center,"Mount Sinai St Luke’s & Mount Sinai Roosevelt Hospital Center, New York, NY"
 Andrea Pagan,University of South Florida Morsani College of Medicine,"University of South Florida Morsani College of Medicine, Tampa, FL"
 Eunie Yook,Cleveland Clinic,"Cleveland Clinic, Cleveland, Ohio"
 Tony Oliver,University of South Dakota Sanford School of Medicine,"University of South Dakota Sanford School of Medicine, Sioux Falls, SD"
 Shireen George,MedStar Washington Hospital Center,"MedStar Washington Hospital Center, Washington, DC"
 Svetlana Herasevich,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Mohit Mody,Newark Beth Israel Medical Center,"Newark Beth Israel Medical Center, Newark, NJ"
 Michelle Winchell,Strong Memorial Hospital of the University of Rochester,"Strong Memorial Hospital of the University of Rochester, Rochester, NY"
 Erick Perez Sifontes,NFRMC/UCF Internal Medicine Residency program,"NFRMC/UCF Internal Medicine Residency program, Gainesville FL, Gainesville, FL"
 Xiaoyi Zhang,Zhongnan Hospital of Wuhan University,"Zhongnan Hospital of Wuhan University, Wuhan, Hubei"
 Matthew Smith,Brooke Army Medical Center,"Brooke Army Medical Center, San Antonio, TX"
 Peter Barrett,Piedmont Heart Institute; Piedmont Atlanta Hospital,"Piedmont Heart Institute; Piedmont Atlanta Hospital, Atlanta, GA"
 Vladyslav Dieiev,Montefiore Medical Center,"Montefiore Medical Center, Albert Einstein College of Medicine, Bronx, NY"
 Fatima Diaban,St. Louis,"St. Louis, MO"
 Hee-sung Kim,Chungbuk National University Hospital,"Chungbuk National University Hospital, Cheongju-si, Chungcheongbuk-do, Republic of Korea, LA"
 Zaid Noori,N/A,N/A
 Stephanie Carmon,Mayo Clinic Hospital in Florida,"Mayo Clinic Hospital in Florida, Jacksonville, Fl"
 Danny Theodore,University of Virginia,"University of Virginia, Charlottesville, VA"
 Lorenzo Leys,Washington,"Washington, DC"
 Alexys Monoson,Thomas Jefferson University Hospital,"Thomas Jefferson University Hospital, Philadelphia, PA"
 Jose Navas,Jackson Memorial Hospital,"Jackson Memorial Hospital, Miami, FL"
 Peter Boshara,Harrison Township,"Harrison Township, MI"
 Lauren Espeso,AdventHealth Orlando,"AdventHealth Orlando, Orlando, FL"
 Najam Siddiqui,LSU Health-Shreveport,"LSU Health-Shreveport, Shreveport, LA"
 Huijuan Xiao,China-Japan Friendship Hospital,"China-Japan Friendship Hospital, Beijing, China"
 Jennifer Stahl,East Carolina University/Vidant Medical Center,"East Carolina University/Vidant Medical Center, Greenville, NC"
 Steven Talbert,University of Central Florida,"University of Central Florida, Orlando, FL"
 Muhammad Khyzar Hayat Syed,University of Minnesota,"University of Minnesota, Minneapolis, MN"
 Greg Martin,Emory University,"Emory University, Grady Memorial Hospital, Atlanta, GA"
 Omar Mahmoud,Mount Sinai St Luke’s & Mount Sinai Roosevelt Hospital Center,"Mount Sinai St Luke’s & Mount Sinai Roosevelt Hospital Center, New York, NY"
 Michael Reaume,Western Michigan University-School of Medicine,"Western Michigan University-School of Medicine, Kalamazoo, MI"
 Alison Koelling,Novant Health Forsyth Medical Center,"Novant Health Forsyth Medical Center, Winston Salem, NC"
 Hani Essber,Outcomes Research,"Outcomes Research, Cleveland Clinic Foundation, Cleveland, OH"
 Umer Shoukat,Abington Jefferson Health,"Abington Jefferson Health, Abington, PA"
 Ahmad Arslan,Abington Jefferson Health,"Abington Jefferson Health, Abington, PA"
 Guramrinder Thind,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Courtney Cox,Eskenazi Health,"Eskenazi Health, Indianapolis, IN"
 Sean Bernfeld,Salt Lake City,"Salt Lake City, UT"
 Amanda Liggett,Eastern Virginia Medical School,"Eastern Virginia Medical School, Norfolk, VA"
 Delyse Garg,Newark Beth Israel Medical Center,"Newark Beth Israel Medical Center, Newark, NJ"
 Xiaoyi Zhang,Zhongnan Hospital of Wuhan University,"Zhongnan Hospital of Wuhan University, Wuhan, China"
 Umair Shaikh,Aventura Hospital and Medical Center,"Aventura Hospital and Medical Center, Aventura, FL"
 Aditya Iyer,MedStar Washington Hospital Center,"MedStar Washington Hospital Center, Washington DC, DC"
 Chinami Kamada,Sapporo,"Sapporo, GU"
 Yorlenis Rodriguez,Sarasota Memorial Hospital-Florida State University College of Medicine,"Sarasota Memorial Hospital-Florida State University College of Medicine, Sarasota, FL"
 Kalpana Balaraman,Kapiolani Medical Center for Women and Children,"Kapiolani Medical Center for Women and Children, Honolulu, HI"
 Elizabeth Rohrs,Royal Columbian Hospital,"Royal Columbian Hospital, New Westminster, Canada"
 Diego De Villalobos,The University of Texas MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Houston, TX"
 Manjiri Tule,Gainesville,"Gainesville, FL"
 Buria Naeem,Indiana University School of Medicine,"Indiana University School of Medicine, Riley Hospital for Children, Indianapolis, IN"
 Adam Himebauch,The Children’s Hospital of Philadelphia,"The Children’s Hospital of Philadelphia, Philadelphia, PA"
 Doug Shapiro,Children’s Hospital Los Angeles,"Children’s Hospital Los Angeles, Los Angeles, CA"
 Nadir Yehya,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Michael Mount,Rainbow Babies and Children’s Hospital,"Rainbow Babies and Children’s Hospital, Cleveland, OH"
 Vidit Bhargava,Stanford University School of Medicine,"Stanford University School of Medicine, Palo Alto, CA"
 Cynthia Moffitt,N/A,N/A
 Chinyere Onyearugbulem,Baylor College of Medicine Texas Children’s Hospital,"Baylor College of Medicine Texas Children’s Hospital, Houston, TX"
 Nicholas Kalbach,University of Tennessee Health Science Center,"University of Tennessee Health Science Center, Memphis, TN"
 Robert Sanchez,University of Chicago Comer Children’s Hospital,"University of Chicago Comer Children’s Hospital, Chicago, IL"
 Brendan Burke,Cleveland Clinic Children’s Hospital,"Cleveland Clinic Children’s Hospital, Cleveland, OH"
 Sule Doymaz,SUNY Downstate Medical Center,"SUNY Downstate Medical Center, Brooklyn, NY"
 Sean DeBoyace,University of Rochester Medical Center,"University of Rochester Medical Center, Rochester, NY"
 Sandeep Tripathi,OSF St Francis Medical Center,"OSF St Francis Medical Center, Edwards, IL"
 Ryan DeSanti,University of Wisconsin-Madison,"University of Wisconsin-Madison, Madison, WI"
 Alejandro Martinez Herrada,UH Rainbow Babies and Children’s Hospital,"UH Rainbow Babies and Children’s Hospital, Cleveland, OH"
 Neel Shah,University of Texas Southwestern,"University of Texas Southwestern, Dallas, TX"
 Neelima Marupudi,University of California,"University of California, San Francisco, San Francisco, CA"
 Andrew Miller,Duke University Children’s Hospital,"Duke University Children’s Hospital, Durham, NC"
 Naveed Ur Rehman Siddiqui,Aga Khan University Hospital,"Aga Khan University Hospital, Karachi, Pakistan, Pakistan"
 Abdallah Dalabih,Arkansas Children’s Hospital,"Arkansas Children’s Hospital, Little Rock, AR"
 Kirstin Henley,Dallas,"Dallas, TX"
 Brian Varisco,Cincinnati Children’s Hospital Medical Center,"Cincinnati Children’s Hospital Medical Center, Cincinnati, OH"
 Renuka Mehta,Augusta University Medical Center/ Georgia Regents,"Augusta University Medical Center/ Georgia Regents, Augusta, GA"
 Miranda Nunez,Johns Hopkins All Children’s Hospital,"Johns Hopkins All Children’s Hospital, Saint Petersburg, FL"
 Ami Shah,Children’s National Health Systems - Washington,"Children’s National Health Systems - Washington, DC, Washington, DC"
 Jonathan Krasinkiewicz,Indiana University,"Indiana University, Department of Pediatrics, Indianapolis, IN"
 Nisha Agasthya,Alfred I DuPont Hospital for Children,"Alfred I DuPont Hospital for Children, Wilmington, DE"
 Deidre Anastas,Nicklaus Children’s Hospital,"Nicklaus Children’s Hospital, Miami, FL"
 Haitham Al Wahab,University of Texas Health Sciences Center at Houston,"University of Texas Health Sciences Center at Houston, Houston, TX"
 Andrew Miller,Duke University Children’s Hospital,"Duke University Children’s Hospital, Durham, NC"
 Jeremy Loberger,Children’s of Alabama,"Children’s of Alabama, Birmingham, AL"
 Sindy Villacres,Nemours Children’s Hospital,"Nemours Children’s Hospital, Orlando, FL"
 Michelle Pelka,UCLA Mattel Children’s Hospital,"UCLA Mattel Children’s Hospital, Los Angeles, CA"
 Andrew Butler,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Sidra Ishaque,Aga Khan University Hospital,"Aga Khan University Hospital, Karachi"
 Sin Wee Loh,Department of Pediatrics,"Department of Pediatrics, KK Women’s and Children’s Hospital, Singapore"
 Sandeep Tripathi,Edwards,"Edwards, IL"
 Jonathan Krasinkiewicz,Indiana University School of Medicine,"Indiana University School of Medicine, Riley Hospital for Children, Indianapolis, IN"
 Harsh Kothari,University of Iowa Hospitals and Clinics,"University of Iowa Hospitals and Clinics, Iowa City, IA"
 Shefali Aggarwal,Advocate Children’s Hospital,"Advocate Children’s Hospital, Park Ridge, IL"
 Yaw Asamoa-Bonsu,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Nupur Dalal,Emory University,"Emory University, Atlanta, GA"
 Erin Hickey,Chicago,"Chicago, IL"
 Christopher Newman,University of Colorado School of Medicine,"University of Colorado School of Medicine, Aurora, CO"
 Ashley Daniel,Children’s Mercy Hospital,"Children’s Mercy Hospital, Kansas City, MO"
 Rogelio Garcia-Jacques,San Antonio,"San Antonio, TX"
 Beth Wathen,Children’s Hospital Colorado,"Children’s Hospital Colorado, Aurora, CO"
 Lee Murphy,Riley Hospital for Children/Indiana University SOM,"Riley Hospital for Children/Indiana University SOM, Indianapolis, IN"
 Vicky Ng,AdventHealth for Children,"AdventHealth for Children, Orlando, FL"
 Ezra Weinblatt,Montefiore Medical Center,"Montefiore Medical Center, Bronx, NY"
 Yi-Chen Lai,Texas Children’s Hospital,"Texas Children’s Hospital, Houston, TX"
 Nathan Chang,Lucile Packard Children’s Hospital at Stanford University,"Lucile Packard Children’s Hospital at Stanford University, Palo Alto, CA"
 Dennis Leung,Carrboro,"Carrboro, NC"
 Jeffrey Weatherhead,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Erin Herstine,Johns Hopkins University School of Medicine,"Johns Hopkins University School of Medicine, Baltimore, MD"
 Ying Chuu,Children’s Hospital at Montefiore,"Children’s Hospital at Montefiore, Bronx, NY"
 Jennifer Kragie,University of Virginia,"University of Virginia, Charlottesville, VA"
 Ahmed Al-Farsi,McMaster Children’s Hospital,"McMaster Children’s Hospital, Hamilton, ON, Canada"
 Holly Gillis,Columbus,"Columbus, OH"
 Albert Jeon,Oakland University William Beaumont School of Medicine,"Oakland University William Beaumont School of Medicine, Rochester, MI"
 Rhea Vidrine,Cincinnati,"Cincinnati, OH"
 Shannon Riley,University of Tennessee Le Bonheur Children’s Hospital,"University of Tennessee Le Bonheur Children’s Hospital, Memphis, TN"
 Katherine Davis,University of Hawaii,"University of Hawaii, Honolulu, HI"
 Brian Jonat,Columbia University Medical Center,"Columbia University Medical Center, New York, NY"
 Danielle Hodge,University of Iowa Stead Family Children’s Hospital,"University of Iowa Stead Family Children’s Hospital, Iowa City, IA, IA"
 Vidit Bhargava,Stanford University School of Medicine,"Stanford University School of Medicine, Palo Alto, CA"
 Rachel Poeppelman,Columbus,"Columbus, OH"
 Elisha Peregino,Penn State Hershey Children’s Hospital,"Penn State Hershey Children’s Hospital, Hummelstown, PA"
 Samantha Lucrezia,Johns Hopkins All Children’s Hospital,"Johns Hopkins All Children’s Hospital, St. Petersburg, FL"
 Anne Lam,Texas Children’s Hospital,"Texas Children’s Hospital, Houston, TX"
 Erin Hickey,University of Chicago Medical Center Comer Children’s Hospital,"University of Chicago Medical Center Comer Children’s Hospital, Chicago, IL"
 Jennifer Ormsby,Boston Children’s Hospital,"Boston Children’s Hospital, Boston, MA"
 Jeremy Loberger,Univ of Alabama at Birmingham,"Univ of Alabama at Birmingham, Birmingham, AL"
 Aditya Badheka,University of Iowa Hospital and Clinics,"University of Iowa Hospital and Clinics, Iowa City, IA"
 Jeff Moss,Lucile Packard Children’s Hospital,"Lucile Packard Children’s Hospital, Palo Alto, CA"
 Christine Koshel,John R. Oishei Children’s Hospital,"John R. Oishei Children’s Hospital, University at Buffalo, Buffalo, NY"
 Anita Arias,Division of Pediatric Critical Care,"Division of Pediatric Critical Care, University of Tennessee Health Science Center, Memphis, TN"
 Jennifer Chapman,New York Presbyterian Hospital-Columbia Campus,"New York Presbyterian Hospital-Columbia Campus, New York, NY"
 Sagnmo Je,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Blaise Soberano,Kent State University,"Kent State University, Kent, OH"
 Allison Parsons,Cincinnati Children’s Hospital Medical Center,"Cincinnati Children’s Hospital Medical Center, Cincinnati, OH"
 Rafael Acal Jimenez,The Mount Sinai Kravis Children’s Hospital,"The Mount Sinai Kravis Children’s Hospital, New York, NY"
 Kristen Meulmester,Baylor College of Medicine/Texas Children’s Hospital,"Baylor College of Medicine/Texas Children’s Hospital, Houston, TX"
 Nada Mallick,Children’s National Health Systems,"Children’s National Health Systems, Washington, DC"
 Nataly Shildt,Emory University,"Emory University, Atlanta"
 Bernadette O’Neil,N/A,N/A
 Caitlin Keane-Bisconti,West Islip,"West Islip, NY"
 Neha Gupta,University of Oklahoma Health Sciences Center,"University of Oklahoma Health Sciences Center, Oklahoma City, OK"
 Alison DeRemigis,University of Chicago Medical Center Comer Children’s Hospital,"University of Chicago Medical Center Comer Children’s Hospital, Chicago, IL"
 Colin Rogerson,Indiana University,"Indiana University, Indianapolis, IN"
 Mizue Kishida,Children’s Hospital of Philadelphia,"Children’s Hospital of Philadelphia, Philadelphia, PA"
 Nina Azer,Phoenix,"Phoenix, AZ"
 Kirk Wyatt,Mayo Clinic,"Mayo Clinic, Rochester, MN"
 Jodi Mullen,UF Health Shands Children’s Hospital,"UF Health Shands Children’s Hospital, Gainesville, FL"
 Kelley Groves,Nationwide Children’s Hospital At Ohio State University,"Nationwide Children’s Hospital At Ohio State University, Columbus, OH"
 Erin Kritz,Texas Children’s Hospital-Baylor College of Medicine,"Texas Children’s Hospital-Baylor College of Medicine, Houston, TX"
 Julie Bracken,Texas Children’s Hospital,"Texas Children’s Hospital, Houston, TX"
 Ramesh Sachdeva,Nicklaus Children’s Hospital,"Nicklaus Children’s Hospital, Miami, FL"
 Selina Sutchu,University of Florida,"University of Florida, Gainesville, FL"
 Emma Nash,Omaha,"Omaha, NE"
 Nivedita Prasanna,George Washington University Hospital,"George Washington University Hospital, Department of Critical Care Medicine, Washington, DC"
 Daisuke Kawakami,Kobe City Medical Center General Hospital,"Kobe City Medical Center General Hospital, Kobe, Japan"
 Jibran Majeed,MSKCC,"MSKCC, New York, NY"
 Rimi Tanii,St. Marianna University School of Medicine Hospital,"St. Marianna University School of Medicine Hospital, Kawasaki, Kanagawa, Japan"
 Takaki Naito,St. Marianna University School of Medicine Hospital,"St. Marianna University School of Medicine Hospital, Kawasaki, Kanagawa"
 Rizah Ouano,Houston Methodist Baytown Hospital,"Houston Methodist Baytown Hospital, Baytown, TX"
 John Sharp,Inspira Medical Group,"Inspira Medical Group, Sicklerville, NJ"
 Nirav Haribhakti,Rutgers Robert Wood Johnson Medical School,"Rutgers Robert Wood Johnson Medical School, New Brunswick, NJ"
 Anahat Dhillon,Los Angeles,"Los Angeles, CA"
 Mary Blair,Indianapolis,"Indianapolis, IN"
 Andrew Barros,University of Virginia,"University of Virginia, Charlottesville, VA"
 Payal Desai,University of Cincinnati Medical Center,"University of Cincinnati Medical Center, Cincinnati, OH"
 Jordan Tremper,CHI Franciscan,"CHI Franciscan, Tacoma, WA"
 Thomas Nahass,Rutgers Robert Wood Johnson Medical School,"Rutgers Robert Wood Johnson Medical School, New Brunswick, NJ"
 Rima Bouajram,Escondido,"Escondido, CA"
 Elizabeth Starnes,N/A,N/A
 Thomas Higgins,The Center for Case Management,"The Center for Case Management, Natick, MA"
 Titilope Olanipekun,Morehouse School of Medicine,"Morehouse School of Medicine, Atlanta, GA"
 Aditya Uppalapati,Houston Methodist Hospital,"Houston Methodist Hospital, League City, TX"
 Silvana Duarte,Hospital Universitario do Oeste do Parana,"Hospital Universitario do Oeste do Parana, Cascavel, Brazil"
 Rizah Ouano,Houston Methodist Baytown Hospital,"Houston Methodist Baytown Hospital, Baytown, TX"
 Krzysztof Laudanski,University of Pennsylvania Health System,"University of Pennsylvania Health System, Philadelphia, PA"
 Senthil Aruchamy,Mercy Hospital Saint Louis,"Mercy Hospital Saint Louis, Saint Louis, MO"
 Fanny Li,University of California San Francisco Medical Center,"University of California San Francisco Medical Center, San Francisco, CA"
 Anahat Dhillon,Cedars Sinai,"Cedars Sinai, Los Angeles, CA"
 Katie Chernoby,Grand Rapids,"Grand Rapids, MI"
 Aditya Uppalapati,Houston Methodist Baytown,"Houston Methodist Baytown, Baytown, TX"
 Daniela Sanabria Candia,Universidad de los Andes,"Universidad de los Andes, Bogota, Colombia"
 Deepali Dixit,Robert Wood Johnson University Hospital,"Robert Wood Johnson University Hospital, Edison, NJ"
 Amos Lal,Mayo Clinic,"Mayo Clinic, Division of Pulmonary and Critical Care Medicine, Rochester, MN"
 Kayvan Moussavi,Tustin,"Tustin, CA"
 Dion Tyler,Northwestern Memorial Hospital,"Northwestern Memorial Hospital, Chicago, IL"
 Lucy Stanke,New Hanover Regional Medical Center,"New Hanover Regional Medical Center, Wilmington, NC"
 Sahar Fatima,The Methodist Hospital,"The Methodist Hospital, Houston, TX"
 Elizabeth Riegle,Carilion Roanoke Memorial Hospital,"Carilion Roanoke Memorial Hospital, Roanoke, VA"
 Mohammed Al-Jaghbeer,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Tanya Belle,Henry Ford Hospital,"Henry Ford Hospital, Detroit, MI"
 Justin George,Sarasota Memorial Hospital-Florida State University College of Medicine,"Sarasota Memorial Hospital-Florida State University College of Medicine, Sarasota, FL"
 Brian Daniel,University of California,"University of California, San Francisco, San Francisco, CA"
 Lewandowski Adriane,Cleveland Clinic,"Cleveland Clinic, Cleveland, OH"
 Enyo Ablordeppey,Washington University School of Medicine,"Washington University School of Medicine, Saint Louis, MO"
 Aditya Uppalapati,Houston Methodist Hospital,"Houston Methodist Hospital, League City, TX"
 Zhenmei Zhang,Rochester,"Rochester, MN"
 Kristin Quinlan,Penn Medicine,"Penn Medicine, Philadelphia, PA"
 Natalie Washburn,Bronson Methodist Hospital,"Bronson Methodist Hospital, Kalamazoo, MI"
 Cindy Zerfoss,Centra Health,"Centra Health, Centra Neuroscience Institute, Lynchburg, VA"
 Robert Hilton,Thomas Jefferson University,"Thomas Jefferson University, Philadelphia, PA"
 Benjamin Bassin,University of Michigan Health System,"University of Michigan Health System, Ann Arbor, MI"
 Katherine Beach,UNC Medical Center,"UNC Medical Center, Department of Pharmacy, Chapel Hill, NC"
 Jennifer Marsh,Tampa General Hospital,"Tampa General Hospital, Tampa, FL"
